Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	1	200	0	642673.5219	122.58	194.95	350	187	320	334	349
2	1	200	0	713877.7841	136.16	119.78	278	103	242	266	278
2	1	200	0	714285.7143	136.24	132.91	266	131	249	259	265
2	1	200	0	690279.0068	131.66	149.21333	298	140.33333	270.33333	286.33333	297.33333
2	1	500	0	358294.5181	170.85	155.48	210	160	192	199	208
2	1	500	0	198688.6549	94.74	307.33	1949	177	1825	1927	1930
2	1	500	0	210570.6465	100.41	274.39	595	259	500	592	594
2	1	500	0	255851.2731	122	245.73333	918	198.66667	839	906	910.66667
2	1	1000	0	84932.90301	81	352.26	503	360	454	478	500
2	1	1000	0	75233.22299	71.75	405.61	1314	362	1252	1286	1290
2	1	1000	0	89142.44964	85.01	331.81	502	344	405	469	497
2	1	1000	0	83102.85854	79.25333	363.22667	773	355.33333	703.66667	744.33333	762.33333
