Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	1000	-1	0	10000000	102228.5831	97.49	289.84	391	308	367	376	387
1	5	1000	-1	0	10000000	89879.56139	85.72	331.14	446	352	413	428	442
1	5	1000	-1	0	10000000	87951.48319	83.87667	349.65333	1053.33333	325.66667	1015	1034	1050.33333
1	5	1000	-1	2	1048576	89992.80058	85.82	331.35	771	346	631	741	767
1	5	1000	-1	2	1048576	87489.06387	83.44	341.21	427	356	403	413	421
1	5	1000	-1	2	1048576	87168.75872	83.13	341.14	883	351	692	833	883
1	5	1000	-1	2	1048576	88216.87439	84.13	337.9	693.66667	351	575.33333	662.33333	690.33333
1	5	1000	-1	2	5000000	86790.48776	82.77	346.41	444	360	409	425	439
1	5	1000	-1	2	5000000	88479.91506	84.38	336.33	1196	343	982	1152	1175
1	5	1000	-1	2	5000000	85910.65292	81.93	346.85	440	360	414	425	431
1	5	1000	-1	2	5000000	87060.35191	83.02667	343.19667	693.33333	354.33333	601.66667	667.33333	681.66667
1	5	1000	-1	2	10000000	87244.80893	83.2	339.83	1165	345	994	1152	1163
1	5	1000	-1	2	10000000	68794.71657	65.61	445.53	2971	290	2898	2959	2970
1	5	1000	-1	2	10000000	99304.86594	94.7	296.62	395	321	368	377	392
1	5	1000	-1	2	10000000	85114.79715	81.17	360.66	1510.33333	318.66667	1420	1496	1508.33333
1	5	1000	-1	5	1048576	92541.18083	88.25	322.74	802	328	616	766	801
1	5	1000	-1	5	1048576	86685.1595	82.67	345.25	611	358	452	594	607
1	5	1000	-1	5	1048576	86986.77801	82.96	344	429	359	411	421	426
